"","�..web.scraper.order","web.scraper.start.url","enkelt.link","enkelt.link.href","afdeling","rent"
"1","1605880500-728","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=12&selskab=881&afdeling=73&antalrum=3","Afd. 73 Fænøgade/Graven/Volden","7.239 Kr."
"2","1605880970-812","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=8022&selskab=289&afdeling=1&antalrum=4","Afd. 01 V. Ringgade m.fl.","9.682 Kr."
"3","1605881115-844","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=10&selskab=31&afdeling=7&antalrum=2","Afd. 7 Vestre Ringgade","5.385 Kr."
"4","1605880516-735","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=403&selskab=881&afdeling=60&antalrum=6","Afd. 60 Frederiksbjerg-bo","11.060 Kr."
"5","1605880725-774","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1006&selskab=715&afdeling=44&antalrum=2","Afd. 44 Fiskergade","6.600 Kr."
"6","1605880852-786","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=11&selskab=328&afdeling=24&antalrum=2","Afd. 24 Bødker Balles Gård","5.606 Kr."
"7","1605880821-784","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=21&selskab=698&afdeling=22&antalrum=3","Afd. 22 Borgmester Jakob Jensens Gade","5.182 Kr."
"8","1605880928-804","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=351&selskab=289&afdeling=4&antalrum=2","Afd. 04 Silkeborgvej","6.431 Kr."
"9","1605880859-787","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=4","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=328&afdeling=20&antalrum=2","Afd. 20 Vestergade","6.827 Kr."
"10","1605880634-761","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8000+Aarhus+C=01&omr-data-carrier=8000+Aarhus+C&BoligOmraader=01&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=6","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=216&selskab=881&afdeling=8&antalrum=3","Afd. 08 Marselisgården I","6.018 Kr."
