web-scraper-order,web-scraper-start-url,enkelt-link,enkelt-link-href,afdeling,rent
"1605888436-1624","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1014&selskab=715&afdeling=9&antalrum=3","Afd. 09 Saralystparken","6.154 Kr."
"1605887847-1567","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=6","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1040&selskab=715&afdeling=49&antalrum=2","Afd. 49 Håndværkerparken","5.467 Kr."
"1605887651-1551","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=7","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1001&selskab=715&afdeling=66&antalrum=2","Afd. 66 Håndværkerparken","5.784 Kr."
"1605887513-1541","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=8","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1016&selskab=715&afdeling=69&antalrum=4","Afd. 69 Håndværkerparken","7.032 Kr."
"1605888303-1608","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=3","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1063&selskab=715&afdeling=23&antalrum=3","Afd. 23 Rundhøj I","5.247 Kr."
"1605888557-1635","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=2","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1050&selskab=715&afdeling=7&antalrum=2","Afd. 07 Saralystparken","5.558 Kr."
"1605888021-1581","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1078&selskab=715&afdeling=40&antalrum=5","Afd. 40 Håndværkerparken","6.259 Kr."
"1605888622-1641","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=1","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1011&selskab=715&afdeling=2&antalrum=3","Afd. 02 Højbjergparken","6.176 Kr."
"1605887458-1518","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=9","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=17&selskab=881&afdeling=58&antalrum=2","Afd. 58 Roukær","6.909 Kr."
"1605888129-1590","https://aarhusbolig.dk/Soeg-bolig?Fritekst=&8270+H%C3%B8jbjerg%2FHolme=08&omr-data-carrier=8270+H%C3%B8jbjerg%2FHolme&BoligOmraader=08&org-data-carrier=&Selskaber=&G%C3%A5rdhavehus=7&Lejlighed=1&R%C3%A6kkehus=2&bolig-data-carrier=G%C3%A5rdhavehus%2CLejlighed%2CR%C3%A6kkehus&BoligTyper=7%2C1%2C2&FloorWish.Min=&FloorWish.Max=&min-data-carrier=&HuslejeMin=&max-data-carrier=&HuslejeMax=&antv-data-carrier=&AntalVaerelser=&antvmax-data-carrier=&AntalVaerelserMax=&div-data-carrier=&BoligArealMin=65&BoligArealMax=200&orderby=&sort=&page=5","Se bolig","https://aarhusbolig.dk/afdelinger/?bolignr=1018&selskab=715&afdeling=39&antalrum=4","Afd. 39 Hjulbjergvej","8.178 Kr."
