Postnummer;Postdistrikt;Dansk oprindelse;Efterkommere fra ikke-vestlige lande;Efterkommere fra vestlige lande;Indvandrere fra ikke-vestlige lande;Indvandrere fra vestlige lande
8000;Aarhus C;60189;847;185;2932;3660
8200;Aarhus N;23588;539;78;1956;1499
8210;Aarhus V;13491;1282;74;4251;1403
8220;Brabrand;8885;1334;37;3579;1166
8230;Åbyhøj;8438;241;23;827;471
8240;Risskov;19660;313;52;1339;1104
8250;Egå;7797;39;21;252;325
8260;Viby J;17639;832;68;3303;1468
8270;Højbjerg;15532;192;36;1031;760
8310;Tranbjerg J;6486;104;12;390;287
8320;Mårslet;4335;10;7;99;127
8330;Beder;3534;3;4;106;158
8340;Malling;4117;23;6;105;157
8355;Solbjerg;3374;39;8;165;144
8361;Hasselager;5283;117;19;401;294
8380;Trige;2767;114;7;419;356
8381;Tilst;6180;878;41;2187;589
8462;Harlev J;3366;62;7;149;185
8471;Sabro;2830;113;9;340;163
8520;Lystrup;7926;60;22;378;438
8530;Hjortshøj;3947;20;6;132;137
8541;Skødstrup;6595;50;20;225;323
Hovedtotal;;236665;7455;748;24900;15520
