Postnummer;Postdistrikt;Dansk oprindelse;Efterkommere fra ikke-vestlige lande;Efterkommere fra vestlige lande;Indvandrere fra ikke-vestlige lande;Indvandrere fra vestlige lande
8000;Aarhus C;5148;317;135;161;88
8200;Aarhus N;3635;405;67;112;29
8210;Aarhus V;3053;1566;116;201;51
8220;Brabrand;2688;1649;56;151;53
8230;Åbyhøj;2146;264;27;41;6
8240;Risskov;4775;347;70;93;53
8250;Egå;2213;42;38;21;22
8260;Viby J;4537;1283;100;201;51
8270;Højbjerg;4450;247;48;128;47
8310;Tranbjerg J;1776;82;23;33;5
8320;Mårslet;1747;23;14;10;7
8330;Beder;955;33;21;33;6
8340;Malling;1261;31;11;12;10
8355;Solbjerg;1410;68;25;13;11
8361;Hasselager;1605;133;26;27;11
8380;Trige;898;157;53;32;37
8381;Tilst;1724;791;78;67;26
8462;Harlev J;1077;58;28;19;12
8471;Sabro;952;136;31;21;10
8520;Lystrup;2854;128;48;24;22
8530;Hjortshøj;1498;25;16;9;6
8541;Skødstrup;2694;55;31;15;23
Hovedtotal;;53181;7852;1066;1432;595
